자치구명,평균가격,최소가격,최대가격
강남구,186472.5369,12400,2850000
강동구,80141.0335,6600,379824
강북구,37105.3197,5500,210000
강서구,44765.5892,4700,340000
관악구,47033.7112,6850,311032
광진구,71386.4409,7000,410000
구로구,48693.0702,5000,210000
금천구,43276.9407,7239,179000
노원구,54070.9471,5900,143000
도봉구,38504.5454,4300,214000
동대문구,59048.9716,4300,280000
동작구,81905.2847,9000,365500
마포구,81882.0172,6000,560000
서대문구,65713.4745,6500,1592500
서초구,151228.5242,9000,785000
성동구,122773.6667,7800,950000
성북구,65709.7814,3800,380000
송파구,115995.2096,9400,939500
양천구,76053.8177,5800,620000
영등포구,81173.0035,5500,1270000
용산구,157293.5367,11500,1200000
은평구,47330.9875,4219,300000
종로구,72275.9777,4500,910000
중구,78794.3955,9850,467000
중랑구,45353.2472,7000,277000
