sgg_nm,avg_cost,max_val,min_val
강남구,112808.0589,3250000,7000
강동구,53227.2020,2828840,3200
강북구,31440.8208,1333313,2200
강서구,36047.2249,1475000,2000
관악구,40551.9954,1080000,2700
광진구,56150.0395,1218000,2130
구로구,35415.0474,2050000,1800
금천구,33453.2107,890000,3000
노원구,36077.7838,696000,2100
도봉구,30392.9419,590000,2460
동대문구,44520.5510,1149400,841
동작구,57209.2879,1410000,2510
마포구,57865.9797,1490000,380
서대문구,45718.6027,1592500,1100
서초구,104018.6940,2900000,4100
성동구,73791.2046,3000000,700
성북구,45312.3503,1260194,2200
송파구,71082.3293,2450000,4000
양천구,48201.2008,620000,3000
영등포구,52731.2232,2914000,1100
용산구,93568.0822,11087780,2000
은평구,33963.5907,1200000,1500
종로구,54745.9121,2099839,1700
중구,59559.1347,2917370,3500
중랑구,37948.9611,1100000,350
