sgg_nm,year,avg_cost
강남구,2013,75883.4012
강남구,2014,79773.5123
강남구,2015,82234.3816
강남구,2016,91802.1517
강남구,2017,108019.9542
강남구,2018,123244.2599
강남구,2019,144765.8686
강남구,2020,142644.4687
강남구,2021,139199.3430
강남구,2022,127655.7854
강남구,2023,182667.8361
강남구,2024,186472.5369
강북구,2013,23610.9012
강북구,2014,25563.3582
강북구,2015,27117.4505
강북구,2016,28631.4015
강북구,2017,30845.8887
강북구,2018,33325.7507
강북구,2019,33178.6582
강북구,2020,36409.7061
강북구,2021,35956.4593
강북구,2022,33098.2603
강북구,2023,36995.8642
강북구,2024,37105.3197
