sgg_nm,min,max,avg
강남구,7000,3250000,112808.0589
강동구,3200,2828840,53227.2020
강북구,2200,1333313,31440.8208
강서구,2000,1475000,36047.2249
관악구,2700,1080000,40551.9954
광진구,2130,1218000,56150.0395
구로구,1800,2050000,35415.0474
금천구,3000,890000,33453.2107
노원구,2100,696000,36077.7838
도봉구,2460,590000,30392.9419
동대문구,841,1149400,44520.5510
동작구,2510,1410000,57209.2879
마포구,380,1490000,57865.9797
서대문구,1100,1592500,45718.6027
서초구,4100,2900000,104018.6940
성동구,700,3000000,73791.2046
성북구,2200,1260194,45312.3503
송파구,4000,2450000,71082.3293
양천구,3000,620000,48201.2008
영등포구,1100,2914000,52731.2232
용산구,2000,11087780,93568.0822
은평구,1500,1200000,33963.5907
종로구,1700,2099839,54745.9121
중구,3500,2917370,59559.1347
중랑구,350,1100000,37948.9611
